# x_m, y_m, vx_mps, psi_rad, kappa_radpm
-5.3591243, -5.3345879, 4.6130492, 3.0759050, 0.0857189
-5.3652589, -5.4344446, 4.6278025, 3.0846089, 0.0882701
-5.3705316, -5.5347699, 4.6425559, 3.0936030, 0.0907721
-5.3748535, -5.6342228, 4.6539897, 3.1027662, 0.0933342
-5.3782574, -5.7339227, 4.6649367, 3.1122037, 0.0958627
-5.3807158, -5.8340573, 4.6758838, 3.1219304, 0.0983398
-5.3821897, -5.9344015, 4.6862849, 3.1319211, 0.1007416
-5.3826496, -6.0338910, 4.6935236, -3.1411289, 0.1030038
-5.3820858, -6.1337630, 4.7007623, -3.1307277, 0.1052830
-5.3804639, -6.2339939, 4.7080010, -3.1200587, 0.1075784
-5.3777650, -6.3340832, 4.7139589, -3.1091746, 0.1097482
-5.3739878, -6.4336512, 4.7177050, -3.0981412, 0.1117265
-5.3690851, -6.5334851, 4.7214511, -3.0868718, 0.1137732
-5.3630278, -6.6335512, 4.7251972, -3.0753606, 0.1158879
-5.3558287, -6.7332823, 4.7272647, -3.0636739, 0.1177217
-5.3474753, -6.8327093, 4.7278837, -3.0518466, 0.1193727
-5.3379160, -6.9322465, 4.7285026, -3.0398217, 0.1211568
-5.3271299, -7.0318492, 4.7291216, -3.0275886, 0.1230744
-5.3151441, -7.1310961, 4.7279533, -3.0152029, 0.1245547
-5.3019319, -7.2301255, 4.7258990, -3.0026914, 0.1259399
-5.2874611, -7.3290690, 4.7238447, -2.9900202, 0.1275249
-5.2717210, -7.4278716, 4.7217904, -2.9771738, 0.1293117
-5.2547029, -7.5264716, 4.7180030, -2.9641654, 0.1305826
-5.2364034, -7.6248119, 4.7137221, -2.9510393, 0.1319074
-5.2168226, -7.7228302, 4.7094412, -2.9377770, 0.1335018
-5.1959611, -7.8204621, 4.7051603, -2.9243577, 0.1353716
-5.1736826, -7.9182307, 4.6993344, -2.9107208, 0.1365601
-5.1501019, -8.0155458, 4.6933136, -2.8969796, 0.1379585
-5.1252489, -8.1122609, 4.6872927, -2.8831193, 0.1397005
-5.0991276, -8.2083382, 4.6812424, -2.8691086, 0.1417672
-5.0713516, -8.3050648, 4.6739850, -2.8547861, 0.1429378
-5.0423218, -8.4009473, 4.6667276, -2.8403910, 0.1445107
-5.0120670, -8.4959086, 4.6594701, -2.8258926, 0.1465040
-4.9804463, -8.5903660, 4.6520542, -2.8111851, 0.1486014
-4.9470161, -8.6855008, 4.6440663, -2.7961375, 0.1499247
-4.9124108, -8.7794305, 4.6360783, -2.7810445, 0.1517057
-4.8766769, -8.8720780, 4.6280904, -2.7658717, 0.1539735
-4.8392185, -8.9649250, 4.6199838, -2.7503431, 0.1558444
-4.8000380, -9.0578216, 4.6117591, -2.7345632, 0.1572565
-4.7598217, -9.1491241, 4.6035343, -2.7187849, 0.1591247
-4.7186344, -9.2387668, 4.5953096, -2.7029747, 0.1614877
-4.6748454, -9.3301581, 4.5872937, -2.6865619, 0.1622888
-4.6299840, -9.4199833, 4.5792990, -2.6702243, 0.1631986
-4.5843025, -9.5078434, 4.5713043, -2.6540044, 0.1644500
-4.5367644, -9.5957310, 4.5636163, -2.6375157, 0.1651181
-4.4872381, -9.6837735, 4.5562793, -2.6208581, 0.1646403
-4.4370663, -9.7696176, 4.5489422, -2.6045201, 0.1639524
-4.3858081, -9.8541369, 4.5418061, -2.5883638, 0.1623102
-4.3318568, -9.9399298, 4.5355099, -2.5721806, 0.1568581
-4.2774548, -10.0234874, 4.5292137, -2.5568558, 0.1503405
-4.2224605, -10.1052644, 4.5230301, -2.5424052, 0.1428793
-4.1646888, -10.1885747, 4.5180713, -2.5282619, 0.1359642
-4.1067134, -10.2697850, 4.5131125, -2.5150765, 0.1281490
-4.0483043, -10.3494411, 4.5083387, -2.5028387, 0.1201677
-3.9874946, -10.4303051, 4.5048971, -2.4908427, 0.1168168
-3.9266947, -10.5092131, 4.5014555, -2.4794058, 0.1126582
-3.8652191, -10.5871762, 4.4984911, -2.4684377, 0.1093468
-3.8020427, -10.6655156, 4.4966863, -2.4574324, 0.1092004
-3.7388102, -10.7421965, 4.4948815, -2.4466263, 0.1080809
-3.6745026, -10.8184901, 4.4941056, -2.4357916, 0.1111252
-3.6091807, -10.8942631, 4.4941055, -2.4243731, 0.1169492
-3.5433239, -10.9688797, 4.4941054, -2.4124981, 0.1214591
