# x_m, y_m, vx_mps, psi_rad, kappa_radpm
-5.3789788, -4.6856018, 7.1306242, 3.1096910, 0.1268176
-5.3815870, -4.7860318, 7.2045208, 3.1211365, 0.1012040
-5.3831626, -4.8857341, 7.2776672, 3.1300903, 0.0794532
-5.3839468, -4.9853010, 7.3500856, 3.1370154, 0.0597341
-5.3841381, -5.0854203, 7.4217975, -3.1411591, 0.0404603
-5.3839217, -5.1859990, 7.4928230, -3.1380344, 0.0229208
-5.3834527, -5.2852411, 7.5631816, -3.1356687, 0.0247477
-5.3827352, -5.3850408, 7.6328917, -3.1331086, 0.0265507
-5.3817474, -5.4853679, 7.7019708, -3.1303550, 0.0283353
-5.3804767, -5.5854964, 7.7704359, -3.1273958, 0.0318311
-5.3788963, -5.6849909, 7.8383029, -3.1239226, 0.0379519
-5.3769307, -5.7849235, 7.9055874, -3.1198280, 0.0439579
-5.3745147, -5.8852768, 7.9723040, -3.1151182, 0.0498586
-5.3716146, -5.9850509, 8.0384669, -3.1098587, 0.0554530
-5.3681678, -6.0846659, 8.1040897, -3.1040607, 0.0608740
-5.3641007, -6.1846205, 8.1691853, -3.0977016, 0.0662505
-5.3593540, -6.2848866, 8.2337663, -3.0907830, 0.0715917
-5.3539282, -6.3844197, 8.2978447, -3.0834079, 0.0762967
-5.3477379, -6.4840246, 8.3614321, -3.0755636, 0.0809091
-5.3407240, -6.5838395, 8.4245395, -3.0672360, 0.0855421
-5.3328369, -6.6838186, 8.4871776, -3.0584235, 0.0901881
-5.3241017, -6.7831359, 8.5493569, -3.0492458, 0.0939295
-5.3144181, -6.8825495, 8.6091669, -3.0396732, 0.0977581
-5.3037470, -6.9820165, 8.6641804, -3.0296983, 0.1016802
-5.2920557, -7.0814417, 8.6242293, -3.0193198, 0.1055292
-5.2793454, -7.1805177, 8.5775290, -3.0086330, 0.1084728
-5.2655539, -7.2795076, 8.5322378, -2.9976376, 0.1115797
-5.2506558, -7.3783592, 8.4885066, -2.9863208, 0.1148561
-5.2346183, -7.4770641, 8.4461894, -2.9746686, 0.1179531
-5.2174045, -7.5756507, 8.4045893, -2.9627520, 0.1202311
-5.1990236, -7.6739298, 8.3639085, -2.9506070, 0.1227508
-5.1794657, -7.7718396, 8.3243608, -2.9382148, 0.1255208
-5.1586541, -7.8696252, 8.2856804, -2.9255272, 0.1279709
-5.1365279, -7.9674180, 8.2473059, -2.9126093, 0.1297558
-5.1131993, -8.0646382, 8.2094948, -2.8995339, 0.1318592
-5.0886759, -8.1612163, 8.1725207, -2.8862765, 0.1342938
-5.0627393, -8.2579049, 8.1359363, -2.8727195, 0.1361903
-5.0354019, -8.3545236, 8.0993843, -2.8589734, 0.1376665
-5.0068824, -8.4502602, 8.0631685, -2.8451316, 0.1395288
-4.9772073, -8.5450406, 8.0276155, -2.8311647, 0.1417973
-4.9458149, -8.6405415, 7.9919840, -2.8168274, 0.1431642
-4.9130804, -8.7354973, 7.9562145, -2.8023853, 0.1444814
-4.8792463, -8.8292228, 7.9206355, -2.7879051, 0.1462271
-4.8442963, -8.9218066, 7.8855300, -2.7733293, 0.1483366
-4.8071353, -9.0159963, 7.8502813, -2.7582737, 0.1490999
-4.7689604, -9.1086542, 7.8144150, -2.7432783, 0.1502301
-4.7298355, -9.1997213, 7.7782868, -2.7283159, 0.1517562
-4.6889738, -9.2910028, 7.7419943, -2.7130608, 0.1530084
-4.6463261, -9.3824771, 7.7054078, -2.6975804, 0.1537927
-4.6028608, -9.4720712, 7.6681215, -2.6822162, 0.1548280
-4.5585121, -9.5600253, 7.6302920, -2.6669031, 0.1560516
-4.5113777, -9.6499871, 7.5920655, -2.6510569, 0.1559529
-4.4635706, -9.7378458, 7.5523763, -2.6354735, 0.1555927
-4.4151552, -9.8236394, 7.5109647, -2.6201743, 0.1549630
-4.3642227, -9.9107152, 7.4680177, -2.6044457, 0.1574541
-4.3122364, -9.9964489, 7.4256068, -2.5885115, 0.1603150
-4.2596614, -10.0801135, 7.3833264, -2.5725500, 0.1626634
-4.2048406, -10.1642864, 7.3439178, -2.5559674, 0.1686577
-4.1486781, -10.2474066, 7.3088760, -2.5386554, 0.1765463
-4.0918536, -10.3283985, 7.2784973, -2.5207893, 0.1846638
-4.0326182, -10.4096047, 7.2523666, -2.5018437, 0.1920320
-3.9720230, -10.4893985, 7.2304817, -2.4822457, 0.1992010
-3.9107069, -10.5669028, 7.2131013, -2.4622003, 0.2065013
-3.8465685, -10.6446250, 7.2011975, -2.4409739, 0.2148499
-3.7813356, -10.7202908, 7.1948689, -2.4190994, 0.2230063
-3.7149996, -10.7938710, 7.1935563, -2.3966238, 0.2300703
-3.6459251, -10.8670462, 7.1934170, -2.3733775, 0.2317116
-3.5758893, -10.9378756, 7.1934170, -2.3502748, 0.2319054
-3.5042492, -11.0070647, 7.1934170, -2.3275625, 0.2161407
-3.4308674, -11.0749550, 7.2047410, -2.3077208, 0.1801710
